"Confirmed","Date","Type","Label","Address","Amount (RVN)","Asset","ID"
"true","2018-10-02T00:49:03","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.13316381","RVN","d1266a2cf48332c6a061534a304ab6410464335f41a7b1b1252c2e7bcb5fabf0"
"true","2018-10-01T00:44:31","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","10.31065021","RVN","159a681da9911cde43a1d7eb45f2e34953faf976d99dd203cfb86eee9d464cd3"
"true","2018-09-30T18:39:46","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","10.24079991","RVN","64eb05a2ea2da0ab606929939a6fc2c9cb0e975cc4e270f1fb121e5c9a514637"
"true","2018-09-30T12:43:52","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","0.97401459","RVN","aae3157780401e0a10aa3298cbe52d62c9369b6f71e6adbb551593b8afa20e33"
"true","2018-09-30T00:41:11","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.06549062","RVN","d1aaa742ce30910113059d79e83be014e8611996962ecadc090c6f3cf91fd526"
"true","2018-09-29T21:35:46","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.22272654","RVN","6216678f094452531e4f6675bc4da0b5cb38f40fe716ba970c8216457be85152"
"true","2018-09-29T18:32:57","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.18341832","RVN","762938ee23629887a033296cac44c23c90b0eccee8a846079aa946c81fe713bc"
"true","2018-09-29T15:31:32","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.49369441","RVN","221e3cb2cbd01b0ecfaeddbb50331d470b6e502b6364fdc25d3de525b58c5540"
"true","2018-09-29T00:26:39","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.59041634","RVN","0a47214e2700c9dfd7b0f07f1f2f1f0fb332ec8a6d2b59165be84cbf10478bab"
"true","2018-09-28T03:16:40","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.47118874","RVN","126b756d3a2a03b2d0adb988fa2831b16d5b61ee2c90c0743b2267807351d13a"
"true","2018-09-27T21:15:15","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.49352132","RVN","cffc00f2bddecc5c82bd902a8d13ec463e6df009b68b498a9798859611b4fb44"
"true","2018-09-27T18:19:22","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","11.18638204","RVN","4f88208f1957b0d6ec1d8e755490289ab40a869f83e4d30db93cff84e0424c59"
"true","2018-09-27T00:16:47","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.38027513","RVN","24ce710794990cdbec90e9699e58b1473cabc00140fd4e52214e53971c6b2953"
"true","2018-09-26T00:06:19","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","8.49871801","RVN","863e5842bd5c77ed0603a1ee7a567e98aa6dfacacc6d15cdf494cdc3c99d610e"
"true","2018-09-24T23:56:47","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","9.20944444","RVN","c3cbec1e424c4a4383a54ba5b11b87f71ed5150cf399bc3059f509e3b8fb7f8a"
"true","2018-09-23T23:50:04","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","10.86834518","RVN","31d104b2b7272fba4d81f7d4f9d31987404ec13ab4414a878ecebbd8582b8a5a"
"true","2018-09-23T17:47:58","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.38906667","RVN","6a9aa69179d34cd920c62761a81e2aa4e0352e7c94962ec46eb6fd271abe9ba4"
"true","2018-09-23T14:48:19","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","3.39949973","RVN","6d4011a58af9ec955cf9d8ba7225d6d591f8f07a83d5f22d963326782f809c21"
"true","2018-09-23T02:45:15","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","6.74604830","RVN","2445d9ee22f6ce117a47b2353968738258baec33b599111cc1763a634559e7c2"
"true","2018-09-22T20:43:45","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","7.52922482","RVN","14a21cfca2244ef2cb1f3f639dc9d20a4ad941f622070cefeaa2085f3e75c5ba"
"true","2018-09-22T17:48:57","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","5.36829715","RVN","30ef70320ec2fd2f76296c92fcd6814aa0ddbc0cab9dc192e8df24eacbbe0747"
"true","2018-09-22T14:43:13","Received with","Mining","R9vTgLGABP8C1M4ayKt7qAibDGy4eNKBWQ","10.21180086","RVN","905da253e3eeba58a67410b410babe5b54bf1a4f5b147098bc4dd5011e3cb3a8"
